playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,eligible,class
clarkwa01,0,0,78,0,20,178,18,16,0,False
clausfr01,0,0,43,0,20,134,16,17,0,False
brownra01,0,0,1,0,0,2,1,0,0,False
bucklje01,0,0,2,0,0,2,0,0,0,False
burkebi02,0,0,22,0,5,23,1,6,0,False
burksa01,0,0,52,0,6,86,4,7,0,False
burnsbi01,0,0,118,0,48,233,30,19,0,False
busheja01,0,0,7,0,0,13,1,1,0,False
bushjo01,0,2,583,7,313,1319,195,213,1,True
cadorle01,0,0,193,5,92,445,68,57,0,True
caldwra02,0,0,595,8,289,1006,133,204,1,False
callara01,0,0,3,0,1,4,0,0,0,False
camniha01,0,0,3,0,0,3,1,3,0,False
cantwmi01,0,0,11,0,3,14,1,2,0,False
cantwto01,0,0,8,0,3,7,1,1,0,False
carlsha01,0,1,385,5,159,590,114,74,1,False
carmich01,0,0,2,0,0,2,0,0,0,False
carpepa01,0,0,5,0,0,5,0,0,0,False
carrodi01,0,0,2,0,1,1,0,0,0,False
carsoal01,0,0,2,0,0,2,0,0,0,False
cartepa01,0,0,129,0,30,115,20,8,0,False
cashica01,0,0,75,2,37,114,12,35,0,False
catesel01,0,0,40,0,11,33,4,12,0,False
cathete01,0,0,201,2,138,0,0,227,0,False
cavetpu01,0,0,49,0,11,78,11,4,0,False
chalmge01,0,0,121,0,34,290,29,32,0,False
chambbi01,0,0,1,0,0,0,0,1,0,False
chanees01,0,0,2,0,0,1,0,0,0,False
chenela01,0,0,315,1,115,926,116,55,0,False
chounch01,0,0,1,0,0,1,0,0,0,False
clarkge01,0,0,11,0,2,5,0,0,0,False
clausal01,0,0,5,0,0,1,0,0,0,False
buckega01,0,0,108,5,47,134,30,24,1,False
burkebo01,0,0,260,0,54,299,38,40,1,False
burnsde01,0,0,41,0,7,34,8,4,0,False
burwebi01,0,0,72,0,15,49,9,18,0,False
bushefr01,0,0,12,0,1,4,0,4,0,False
bushgu01,0,0,544,0,143,850,176,138,1,True
byrneje01,0,0,3,0,0,1,0,0,0,False
caldwch01,0,0,3,0,0,1,0,0,0,False
caldwea01,0,0,200,1,28,202,33,25,1,False
campbar01,0,0,40,0,5,29,2,5,0,False
canavhu01,0,0,16,0,2,18,0,3,0,False
cantrgu01,0,0,38,0,2,45,2,5,0,False
cantwbe01,0,1,340,0,116,348,76,95,1,False
carawpa01,0,0,109,0,28,151,22,21,0,False
carlsle01,0,0,3,0,1,3,0,0,0,False
carroed01,0,0,24,0,1,13,1,2,0,False
carroow01,0,0,275,0,98,311,64,91,0,False
carteso01,0,0,2,0,0,1,0,0,0,False
castnpa01,0,0,6,0,0,0,0,0,0,False
causere01,0,0,146,0,33,139,39,22,0,False
chagnle01,0,0,135,0,17,153,19,20,0,False
chaplti01,0,0,87,1,21,118,15,27,0,False
chapmbe01,4,0,1717,90,1958,65,8,3742,1,True
cheevvi01,0,0,111,1,26,98,26,10,0,False
childha01,0,0,5,0,1,5,0,0,0,False
clarkbi01,0,0,53,0,2,39,3,5,0,False
clarkbo03,0,0,16,0,2,10,1,0,0,False
clarkle01,0,0,1,0,0,1,0,0,0,False
clarkru01,0,0,7,0,0,3,1,3,0,False
clarkwa02,0,1,357,1,117,643,111,54,1,False
clouged01,0,0,11,0,2,3,0,13,0,False
clowebi01,0,0,2,0,0,0,0,1,0,False
brunero01,0,0,19,0,2,28,0,1,0,False
bryancl01,0,0,185,5,51,272,32,31,0,False
bukercy01,0,0,42,0,3,48,7,3,0,False
bullore01,0,0,12,0,0,7,0,3,0,False
burkael01,0,0,16,0,1,9,1,1,0,False
burrojo01,0,0,30,0,2,22,0,0,0,False
butchma01,0,0,343,1,110,485,95,98,0,False
butlabi01,0,0,32,0,2,62,9,15,0,False
butlech01,0,0,1,0,0,0,0,0,0,False
buxtora01,0,0,19,0,0,23,0,2,1,False
byerlbu01,0,0,238,0,10,209,22,34,1,False
byrneto01,1,0,377,14,143,766,85,59,1,False
cainsu01,0,0,180,0,56,279,53,17,0,False
caligfr01,0,0,18,0,5,27,2,2,0,False
callajo01,0,0,10,0,0,11,1,3,0,False
calvepa01,0,0,110,0,11,102,9,29,0,False
campbjo01,0,0,1,0,0,0,0,0,0,False
candimi01,0,0,174,1,35,183,26,33,0,False
cardobe01,0,0,43,0,4,34,0,3,0,False
carlete01,0,0,298,6,100,808,100,93,0,False
carneed01,0,0,158,1,142,4,0,456,0,False
carpebo01,0,0,80,0,22,134,25,21,0,False
carpele01,0,0,4,0,0,1,0,0,0,False
carraal01,0,0,258,1,33,252,50,42,1,False
cartear01,0,0,56,2,15,37,13,11,0,False
cascajo01,0,0,143,0,20,192,27,27,0,False
caseyhu01,0,0,344,0,40,349,75,54,1,False
castege01,0,0,380,0,81,595,76,75,1,False
castlsl01,0,0,123,2,28,225,36,32,0,False
catheha01,0,0,12,0,3,8,1,0,0,False
cecilre01,0,0,18,0,11,63,6,5,0,False
centepe01,0,0,77,0,2,50,7,5,0,False
chambbi02,0,0,12,0,1,11,0,0,0,False
chambjo02,0,0,2,0,0,1,0,0,0,False
chandsp01,4,7,211,9,110,614,109,106,1,True
chapmed01,0,0,6,0,0,4,0,0,0,False
chaseke01,0,0,190,1,69,582,53,37,0,False
cheliit01,0,0,24,0,6,20,4,8,0,False
chipmbo01,0,0,294,0,32,322,51,53,1,False
chrisru01,1,0,242,2,50,424,54,93,0,False
ciolalo01,0,0,12,0,3,7,1,2,0,False
clarkot01,0,0,12,0,5,20,4,4,0,False
clasego01,0,0,8,0,1,1,2,0,0,False
clemebi01,0,0,15,0,2,19,1,4,0,False
clydeto01,0,0,4,0,0,0,0,0,0,False
brownwa01,0,0,19,0,0,10,1,0,0,False
brucebo01,0,0,223,0,52,733,49,95,0,False
brunege01,0,0,324,3,37,921,69,46,1,False
bruneja01,0,0,26,0,0,28,2,2,0,False
budnimi01,0,0,42,1,7,42,2,8,0,False
buhlbo01,2,0,457,0,76,1268,166,211,1,False
bunniji01,8,2,601,7,213,2855,224,206,1,True
burdele01,3,2,666,12,185,1074,203,245,1,True
burkhke01,0,0,149,1,27,181,27,21,0,False
burnewa01,0,0,68,0,11,122,14,16,0,False
burnspe01,0,0,196,0,10,303,19,21,0,False
burpoge01,0,0,2,0,0,1,0,0,0,False
burtsmo01,0,0,90,0,5,97,10,15,0,False
burwedi01,0,0,5,0,1,1,0,1,0,False
buzhajo01,0,0,332,0,60,678,71,133,1,False
byrdha01,0,1,187,0,42,381,46,46,0,False
cainbo01,0,0,150,0,42,249,37,28,0,False
cardejo01,0,0,1,0,0,1,0,0,0,False
cardwdo01,0,0,416,15,94,1211,102,164,1,False
carlsdo01,0,0,13,0,5,23,2,1,0,False
carysc01,0,0,23,0,1,25,3,2,0,False
casalje01,0,0,96,4,25,207,17,24,0,False
ceccaar01,0,0,79,0,6,166,9,7,0,False
chakabo01,0,0,171,1,26,187,15,14,0,False
chambcl01,0,0,189,3,69,374,48,38,0,False
chanded01,0,0,15,0,0,8,0,2,0,False
cheneto01,0,0,121,0,18,345,19,23,0,False
chesnbo01,0,0,90,2,44,130,24,37,0,False
chetkmi01,0,0,4,0,0,0,0,0,0,False
chittne01,0,0,40,0,2,30,3,6,0,False
churcbu01,0,0,162,3,53,274,36,43,0,False
churnch01,0,0,25,0,1,32,3,4,0,False
cicotal01,0,0,104,0,15,149,10,23,0,False
clarkmi01,0,0,35,0,0,27,3,6,0,False
clarkph01,0,0,15,0,0,6,0,0,0,False
clarkwe01,0,0,7,0,1,9,0,1,0,False
clearjo01,0,0,1,0,0,1,0,0,0,False
clevete01,0,0,310,0,20,361,36,50,0,False
brubabr01,0,0,2,0,0,2,0,0,0,False
bruckfr01,0,0,1,0,0,0,0,0,0,False
bryanro01,0,2,206,0,48,509,57,24,0,False
bunkewa01,0,0,207,0,31,569,60,70,0,False
burbabi01,0,0,37,0,4,95,6,10,0,False
burchla01,0,0,29,0,0,26,0,1,0,False
burdefr01,0,0,30,0,1,10,1,3,0,False
burgmto01,1,0,782,0,14,584,79,124,1,False
busbyst01,2,0,167,0,3,659,70,76,0,False
buschdo01,0,0,13,0,2,9,0,2,0,False
butlebi02,0,0,134,0,6,408,23,12,0,False
butlece01,0,0,11,0,0,24,2,0,0,False
butteto01,0,0,43,0,3,85,2,4,0,False
cainle01,0,0,69,2,21,303,23,13,0,False
caldwmi01,0,0,477,0,34,939,137,116,1,True
calmudi01,0,0,22,0,1,26,3,1,0,False
cambrfr01,0,0,6,0,2,14,1,1,0,False
campabe01,6,3,2328,79,2249,1,0,3789,1,True
campisa01,0,0,50,0,0,35,3,1,0,False
caprabu01,1,0,142,0,19,362,31,31,0,False
cardico01,0,0,6,0,0,7,0,0,0,False
carloci01,0,0,73,0,4,119,11,24,0,False
carltst01,10,17,745,13,346,4136,329,109,1,True
carpifr01,0,0,49,0,0,29,4,2,0,False
carrido01,0,0,170,0,27,275,28,45,0,False
